判定	一致度	単語	聞こえた内容	ファイル
NG	0.00	sudden	7.	a1kacg3v.mp3
NG	0.00	view	Deal.	a25kth.mp3
NG	0.12	employee	and play.	ajqk71q.mp3
NG	0.18	various	There he is.	a3wzfmz.mp3
NG	0.20	weigh	Way.	a1va8os.mp3
NG	0.25	seem	same	a23kvu.mp3
NG	0.29	appear	Up here.	a1bozyj9.mp3
NG	0.33	injure	Enter.	a1fg5uub.mp3
NG	0.40	cause	Coos.	a1k8221.mp3
NG	0.40	repair	We're pare.	a1jkppxp.mp3
NG	0.40	solve	Self.	a1t9irj.mp3
？	0.50	earn	Turn.	a1ukew.mp3
？	0.50	hire	Higher.	a1wnas.mp3
？	0.50	weight	Wait.	a1lxthfc.mp3
？	0.50	wooden	Witten.	a1m3f6za.mp3
？	0.55	remove	We're moved.	a1jko3no.mp3
？	0.56	show up	She'll up.	ay6rx5q.mp3
？	0.57	common	Come in.	a1cmho17.mp3
？	0.60	whole	Hold.	a1vca7r.mp3
？	0.67	give back 〜	Get back.	a1esg8ia.mp3
？	0.67	warn	Warren.	a2626e.mp3
OK	0.75	lend	Land.	a1z46n.mp3
OK	0.75	look up 〜	Look out.	ahq8rso.mp3
OK	0.78	hear from 〜	Here from...	a1887qu0.mp3
OK	0.80	keep -ing	Keep doing.	a154rbrk.mp3
OK	0.80	prize	Price.	a1rnzte.mp3
OK	0.83	borrow	Barrow.	a1c5jcad.mp3
OK	0.83	make up one's mind	Make up once mind.	a1aozfkj.mp3
OK	0.86	abroad	A broad.	a1bhcblt.mp3
OK	0.86	asleep	A sleep.	a1bqksgm.mp3
OK	0.87	feel like -ing	Feel like doing.	audf3pg.mp3
OK	0.88	be used to -ing	Be used to doing.	a1feayd0.mp3
OK	0.90	thanks to 〜	Thanks, too.	at0r3ji.mp3
OK	0.92	be about to 〜	Be about two.	ajbkf3b.mp3
OK	1.00	accept	Accept.	a1bhmcco.mp3
OK	1.00	accident	Accident.	azl3s3z.mp3
OK	1.00	according to 〜	According to	a640df9.mp3
OK	1.00	achieve	achieve.	a1fmsua9.mp3
OK	1.00	actually	Actually	a17tf44b.mp3
OK	1.00	admit	Admit.	a1j67o5.mp3
OK	1.00	advantage	Advantage.	a1lnoawb.mp3
OK	1.00	advice	Advice.	a1biicc8.mp3
OK	1.00	after all	After all...	agtwnrx.mp3
OK	1.00	allow	Allow.	a1jbayx.mp3
OK	1.00	amount	Amount.	a1bnc9y0.mp3
OK	1.00	ancient	Ancient.	a1krjph4.mp3
OK	1.00	announce	Announce.	a1oacfop.mp3
OK	1.00	anyway	Anyway.	a1bo2hkz.mp3
OK	1.00	apologize	Apologize.	alvrank.mp3
OK	1.00	appointment	Appointment.	a1amxsbj.mp3
OK	1.00	appreciate	Appreciate.	a93lujc.mp3
OK	1.00	arrange	Arrange.	a1mvu6jw.mp3
OK	1.00	article	article.	a1mx2nli.mp3
OK	1.00	as a result	As a result.	avirap6.mp3
OK	1.00	ask for 〜	ask for	aditnha.mp3
OK	1.00	at first	At first.	a148xugz.mp3
OK	1.00	at least	At least.	a14c5ph8.mp3
OK	1.00	attend	attend.	a1br9p5m.mp3
OK	1.00	attention	Attention.	a1t6dna6.mp3
OK	1.00	attitude	Attitude.	a91gi3u.mp3
OK	1.00	audience	Audience.	ag4v404.mp3
OK	1.00	available	Available.	a1mw5zgp.mp3
OK	1.00	average	average.	a1ol5xjx.mp3
OK	1.00	avoid	Avoid.	a1jhqwl.mp3
OK	1.00	be able to 〜	be able to.	abxhdeo.mp3
OK	1.00	be afraid of 〜	Be afraid of.	a2dfr47.mp3
OK	1.00	be based on 〜	Be based on.	a1ow8rqd.mp3
OK	1.00	be covered with 〜	Be covered with.	avooa6h.mp3
OK	1.00	be different from 〜	be different from.	acjnoyy.mp3
OK	1.00	be famous for 〜	Be famous for.	a15cgwrh.mp3
OK	1.00	be full of 〜	Be full of.	a1m9fyw7.mp3
OK	1.00	be interested in 〜	Be interested in.	adk60zf.mp3
OK	1.00	be proud of 〜	Be proud of.	a1gyvohg.mp3
OK	1.00	be responsible for 〜	Be responsible for.	a1x9q0ji.mp3
OK	1.00	be surprised at 〜	Be surprised at.	a1vfi0r5.mp3
OK	1.00	be worried about 〜	Be worried about.	a1clm9ks.mp3
OK	1.00	belong	Belong.	a1bzxi67.mp3
OK	1.00	bother	Bother.	a1c5kelq.mp3
OK	1.00	brave	Brave.	a1jyphc.mp3
OK	1.00	break down	Break down.	akl4wmb.mp3
OK	1.00	bring up 〜	Bring up.	a14ogv51.mp3
OK	1.00	by mistake	by mistake.	a1mx4nf9.mp3
OK	1.00	by the way	by the way.	aivgliv.mp3
OK	1.00	call back	Call back.	a1grcm09.mp3
OK	1.00	cancel	Cancel.	a1cesz22.mp3
OK	1.00	catch up with 〜	Catch up with.	a38m4oy.mp3
OK	1.00	celebrate	Celebrate.	anovow7.mp3
OK	1.00	ceremony	ceremony	a1mlocjm.mp3
OK	1.00	certain	Certain.	ab29h2a.mp3
OK	1.00	certainly	Certainly.	a1bt4e5r.mp3
OK	1.00	challenge	Challenge.	an73asj.mp3
OK	1.00	charge	Charge.	a1cifjjo.mp3
OK	1.00	cheerful	Cheerful.	apg92j4.mp3
OK	1.00	climate	Climate.	ae8i7tx.mp3
OK	1.00	clothing	Clothing.	ai38yh4.mp3
OK	1.00	coast	Coast.	a1kgl1y.mp3
OK	1.00	come true	come true	a15gtp9m.mp3
OK	1.00	come up with 〜	Come up with.	a1w1sfgr.mp3
OK	1.00	comfortable	Comfortable.	a1gqibl2.mp3
OK	1.00	communicate	Communicate.	a1kdm5rn.mp3
OK	1.00	community	Community.	a1ajt695.mp3
OK	1.00	compare	Compare.	afpw6at.mp3
OK	1.00	complain	Complain.	a1p47rvt.mp3
OK	1.00	complete	Complete.	a1p47v3t.mp3
OK	1.00	condition	condition.	a1ksb5ln.mp3
OK	1.00	consider	Consider	a1pmux89.mp3
OK	1.00	contact	Contact.	afqiihs.mp3
OK	1.00	contain	contain	afqiims.mp3
OK	1.00	continue	Continue.	a1pnexlz.mp3
OK	1.00	convenient	Convenient.	axq3xvj.mp3
OK	1.00	correct	Correct.	afsohuy.mp3
OK	1.00	cost	cost.	a1tkul.mp3
OK	1.00	count	Count.	a1kgzrj.mp3
OK	1.00	create	Create.	a1cnzp4s.mp3
OK	1.00	crowded	Crowded.	ah695ho.mp3
OK	1.00	culture	Culture.	aijp2um.mp3
OK	1.00	curious	Curious.	aimsp6s.mp3
OK	1.00	custom	Custom.	a1cpwepd.mp3
OK	1.00	customer	Customer.	aa0wfry.mp3
OK	1.00	cut down 〜	Cut down.	a174uq4c.mp3
OK	1.00	damage	Damage.	a1cvtx0v.mp3
OK	1.00	dangerous	Dangerous.	a1ex1d8q.mp3
OK	1.00	deal with 〜	Deal with.	a1x3x37a.mp3
OK	1.00	decision	Decision.	a9ctbks.mp3
OK	1.00	decrease	decrease.	a9hid9a.mp3
OK	1.00	deliver	Deliver.	apn6ecl.mp3
OK	1.00	depend on 〜	depend on	a1khyc7j.mp3
OK	1.00	describe	Describe.	agu7v0r.mp3
OK	1.00	destroy	Destroy.	apr7wmy.mp3
OK	1.00	detail	Detail.	a1cy5kcx.mp3
OK	1.00	develop	Develop.	apsll5p.mp3
OK	1.00	direction	Direction.	a1j40e4f.mp3
OK	1.00	disaster	Disaster.	a4hm7z5.mp3
OK	1.00	discover	Discover.	a4inap5.mp3
OK	1.00	discuss	Discuss.	arn3lr4.mp3
OK	1.00	distance	Distance.	a4rqoz9.mp3
OK	1.00	do one's best	Do one's best.	a13zr947.mp3
OK	1.00	easily	Easily.	a1dczjen.mp3
OK	1.00	effect	effect.	a1dfi4cx.mp3
OK	1.00	effort	Effort.	a1dfic4s.mp3
OK	1.00	electricity	electricity.	afug41d.mp3
OK	1.00	emergency	Emergency.	aqxves1.mp3
OK	1.00	empty	Empty.	a1lj7f1.mp3
OK	1.00	encourage	Encourage.	ap7hlsd.mp3
OK	1.00	energy	Energy.	a1djw3uw.mp3
OK	1.00	environment	Environment.	a1xlytcj.mp3
OK	1.00	equipment	equipment.	ahsu1zi.mp3
OK	1.00	especially	especially.	a1xwr4u9.mp3
OK	1.00	exactly	Exactly.	a1d59wb0.mp3
OK	1.00	examine	Examine.	a1d5g21t.mp3
OK	1.00	exchange	Exchange.	awwns4j.mp3
OK	1.00	expect	Expect.	a1dpkswp.mp3
OK	1.00	expensive	Expensive.	a26tonf.mp3
OK	1.00	experience	Experience.	a1xm61yi.mp3
OK	1.00	expert	Expert.	a1dpkt9m.mp3
OK	1.00	explain	Explain.	a1ddo5x3.mp3
OK	1.00	express	Express.	a1dds31s.mp3
OK	1.00	factory	Factory.	a1gz17uy.mp3
OK	1.00	fail	Fail.	a1v76m.mp3
OK	1.00	fall asleep	Fall asleep.	a12qw1uj.mp3
OK	1.00	familiar	Familiar.	ad0svid.mp3
OK	1.00	fee	fee	a264m.mp3
OK	1.00	feed	Feed.	a1va1q.mp3
OK	1.00	figure out 〜	Figure out.	a138v4b2.mp3
OK	1.00	finally	Finally.	a1kx3qf7.mp3
OK	1.00	find out 〜	Find out.	a1cjj82r.mp3
OK	1.00	flavor	Flavor.	a1dzro9q.mp3
OK	1.00	for a while	For a while.	a12c59az.mp3
